respondent_id,Stokke_Xplory_Stroller_only,Stokke_Xplory_with_Carry_Cot,Babyzen_Yoyo2_Stroller_only,Babyzen_Yoyo2_with_Carry_Cot,Cybex_Priam,Mima_Xari,Joolz_Day,Bugaboo_Fox_3,Uppababy_Vista_V2,Joolz_Aer,Bugaboo_Butterfly,Nuna_TRVL,Cybex_Eezy_S_2,Easywalker_Jackey,p1_1,p1_2,p1_3,p1_4,p1_5,p2_1,p2_2,p2_3,p2_4,p2_5,p3_1,p3_2,p3_3,p3_4,p3_5,p4_1,p4_2,p4_3,p4_4,p4_5,p5_1,p5_2,p5_3,p5_4,p5_5,p6_1,p6_2,p6_3,p6_4,p6_5,p7_1,p7_2,p7_3,p7_4,p7_5,p8_1,p8_2,p8_3,p8_4,p8_5,p9_1,p9_2,p9_3,p9_4,p9_5,p10_1,p10_2,p10_3,p10_4,p10_5,p11_1,p11_2,p11_3,p11_4,p11_5,p12_1,p12_2,p12_3,p12_4,p12_5,p13_1,p13_2,p13_3,p13_4,p13_5,p14_1,p14_2,p14_3,p14_4,p14_5,NONE,filter_weight,Age,Pregnant,Gender,CustomerSegment,Income,Children
4886,-1.509980877,-0.643031475,2.443075712,-0.081475528,-0.088072778,-3.192686776,-2.591437023,-1.812695805,-1.944772513,1.972858143,2.145701399,1.054122181,2.376156595,1.872238745,1.155491517,0.847641107,-0.328555717,-0.611761892,-1.062815015,0.479166309,0.423483845,0.408381159,0.251878405,-1.562909718,0.365251618,0.234482358,0.067420508,-0.106611101,-0.560543383,0.853832173,0.698966819,-0.286173237,-0.550086045,-0.716539711,0.714179167,0.543231295,0.151274872,-0.192206951,-1.216478382,1.536499549,0.459118168,0.012111078,-0.962671985,-1.045056811,0.463561829,-0.023144839,-0.104055371,-0.104505135,-0.231856484,0.490705354,0.117732997,-0.085155362,-0.209540877,-0.313742112,1.801704862,0.283436316,-0.259424091,-0.646542599,-1.179174488,0.441353872,0.122492166,0.01711098,-0.102806909,-0.47815011,0.213946382,0.158400957,0.110696737,-0.001472834,-0.481571241,0.292206453,0.088661174,0.075504756,-0.12637977,-0.329992612,0.425643676,0.131577027,0.045735909,-0.114972421,-0.487984191,0.180220068,0.16546949,0.130763503,0.129423149,-0.60587621,-4.754004548,1,3,2,1,1,7,1
4888,2.171353247,1.576500241,-0.047913833,0.545257221,0.654970879,2.715537677,1.782904576,-0.393278412,0.013619468,-0.674713555,-1.755074283,-1.735373434,-2.160065602,-2.693724191,0.238665243,0.002285448,-0.064982663,-0.080562619,-0.09540541,0.040840138,0.036719339,0.023441864,-0.016959996,-0.084041345,0.199957532,0.082127841,0.022077021,0.005678615,-0.309841008,0.509121458,-0.016284181,-0.085625827,-0.165419647,-0.241791803,0.092284225,-0.002646172,-0.005399231,-0.006977391,-0.07726143,0.357645633,-0.024147013,-0.040619944,-0.14261793,-0.150260746,0.102518568,0.005934325,-0.019770355,-0.019900878,-0.06878166,0.172749849,0.149440044,0.036599971,0.00415709,-0.362946955,0.073755162,0.024771642,0.02248967,-0.046373618,-0.074642856,0.118200527,0.071723086,0.024175444,-0.059992979,-0.154106079,0.089873472,-0.01176767,-0.01631091,-0.029408335,-0.032386558,0.250535531,0.173964591,0.143919415,0.12241005,-0.690829587,0.211408962,0.071252774,-0.068553058,-0.076376463,-0.137732214,0.094366767,0.048853771,0.012681413,0.008986666,-0.164888618,-9.180840789,1,3,1,1,2,7,1
4890,-2.192565469,-2.09593296,0.421360883,0.088074021,0.787142305,-3.83514518,-2.737201115,-1.766781567,-2.124063879,1.621767799,2.628369707,1.947733071,3.581146142,3.676096243,0.518802693,0.367871866,0.232054771,-0.056063916,-1.062665414,0.783726784,0.617232431,0.604180536,0.50644343,-2.511583181,0.3250443,0.248846606,0.118234688,-0.086810867,-0.605314726,1.447673262,1.140126502,-0.210109753,-1.170939875,-1.206750136,0.740277245,0.615989651,0.390367427,-0.337871277,-1.408763046,1.572682285,0.67054545,0.052920807,-0.905380215,-1.390768328,0.422392869,0.113626026,-0.136418682,-0.150811785,-0.248788428,1.023986243,0.140438073,-0.276313149,-0.420958471,-0.467152696,1.934633642,0.505426249,-0.335361388,-0.831758386,-1.272940117,0.757367312,-0.035151718,-0.119001593,-0.1410416,-0.462172401,0.760130968,0.707430661,0.652209737,-0.178606521,-1.941164845,0.370084273,0.137958837,0.099517285,-0.292860835,-0.31469956,1.045552739,0.105341034,0.075013348,-0.196359464,-1.029547657,0.490503679,0.476683098,0.207887143,0.200267493,-1.375341413,4.562834667,1,2,1,1,2,4,1
4918,0.171914372,-0.87845566,0.442822193,-1.349353415,0.835280153,-0.976543113,0.459955956,1.066666438,-0.818185456,0.02108707,0.985581601,0.025605819,1.095829221,-1.082205177,0.26336449,0.1371299,0.067039405,-0.183758008,-0.283775787,0.327285295,0.204116754,0.165344449,0.038313219,-0.735059717,0.318083975,0.04979039,-0.046560505,-0.104686116,-0.216627744,0.312234609,0.203191046,-0.070493154,-0.203166281,-0.241766219,0.281834796,0.188280737,0.064719104,-0.052724274,-0.482110362,0.526840291,0.042025499,-0.033171765,-0.217101505,-0.31859252,0.953710034,-0.058398938,-0.209534527,-0.24508264,-0.44069393,0.333213455,0.11269693,-0.006797743,-0.101138469,-0.337974173,0.84950733,0.206780942,0.107652026,-0.327707008,-0.836233289,0.11543975,0.072389766,0.024036367,-0.051986219,-0.159879664,0.45988028,0.280233903,0.21494688,-0.386875815,-0.568185248,0.259358247,0.176785788,0.116149274,-0.050022612,-0.502270697,0.461072641,0.320716925,0.175643763,-0.099364202,-0.858069127,0.204630951,0.06542678,0.03953058,0.028011227,-0.337599539,-5.447114094,1,2,2,1,1,4,1
4927,-2.004471923,-2.646466464,0.752578291,-0.45730998,-0.779229396,-2.720866001,-2.532293335,-2.47413243,-2.084635537,2.353113027,1.959954277,3.543281504,3.923609839,3.166868129,0.844168775,0.594501667,-0.132543307,-0.363492827,-0.942634308,0.614259187,0.500139982,0.491459207,0.264933584,-1.87079196,0.665492016,0.291060478,-0.082740713,-0.340928721,-0.53288306,1.03380852,0.705263495,-0.176455711,-0.662006747,-0.900609557,0.564660676,0.458009649,0.097766748,-0.219200195,-0.901236879,2.213691256,0.828319242,0.050113471,-1.495072697,-1.597051272,0.710589657,-0.05676675,-0.172268891,-0.181385272,-0.300168743,0.614827921,0.052891274,-0.089375937,-0.202915104,-0.375428155,1.827678359,0.203178819,-0.335278517,-0.633491576,-1.062087085,0.427171805,0.230811035,0.000763213,-0.074594737,-0.584151315,0.325974243,0.299597673,0.22287675,-0.03730207,-0.811146597,0.14104789,0.060570469,0.052796067,-0.03718119,-0.217233237,0.639581504,0.135193208,0.011653728,-0.310109633,-0.476318807,0.129775236,0.122220779,0.105960186,0.10308349,-0.461039692,-3.825186256,1,3,2,2,1,4,1
4932,-0.09989797,2.052931789,-1.370360254,-0.316030005,1.830504297,2.17013319,-0.63457442,-0.741128567,-0.675062658,0.63019449,0.479767776,-0.833168248,-0.549580468,-1.943728951,0.282577588,0.046098179,-0.063790908,-0.098529862,-0.166354996,0.236834843,0.154731538,0.103413101,-0.006386527,-0.488592954,0.268508094,0.082992134,-0.010091439,-0.031461928,-0.309946862,0.673984618,0.22607328,-0.07675777,-0.357856096,-0.465444033,0.119254418,0.033542291,0.001833966,-0.029947385,-0.12468329,0.314005576,0.070674379,-0.031779246,-0.134151066,-0.218749643,0.155810576,0.013100119,-0.040473836,-0.048077923,-0.080358937,0.223996088,0.153158636,0.039116203,-0.051453632,-0.364817296,0.238507508,0.086827779,0.062258837,-0.096389059,-0.291205065,0.11661415,0.042849091,-0.008104106,-0.047698191,-0.103660943,0.210870435,0.101222517,0.094355544,-0.178340656,-0.22810784,0.211682494,0.043296857,0.020673207,-0.026943027,-0.248709531,0.209550037,0.123666748,0.004180002,-0.002935072,-0.334461715,0.120526428,0.069013598,-0.00395054,-0.0163319,-0.169257587,-5.537029166,1,2,2,1,2,5,1
4961,0.066765908,2.980782037,-1.938523733,-0.184711418,1.079752234,-1.171908921,0.377042714,2.148018245,1.978576502,-1.716720055,-1.658682196,-2.034628805,0.758304158,-0.68406667,0.172747043,0.04615164,-0.003736516,-0.09754061,-0.117621557,0.119305708,0.065821381,0.036791898,-0.032526885,-0.189392102,0.236699288,0.023205105,-0.018770301,-0.028417424,-0.212716667,0.625331385,0.205674842,-0.180947135,-0.301806053,-0.34825304,0.093752352,0.019427256,0.009962493,-0.004940192,-0.11820191,0.118894895,0.014857083,0.013139778,-0.033300682,-0.113591075,0.16991214,0.041961702,-0.031484944,-0.079746625,-0.100642273,0.178937212,0.118950729,0.047304321,0.017089015,-0.362281276,0.200360421,0.034493908,0.01470354,-0.029030243,-0.220527626,0.052178524,0.030595829,0.022983313,-0.009540225,-0.096217441,0.083210664,0.017365086,-0.002388583,-0.043612157,-0.054575011,0.280976212,0.163205285,0.13034943,-0.025735418,-0.548795509,0.098758689,0.052334723,0.021445843,-0.029950382,-0.142588873,0.108736296,0.05322029,0.002509316,-0.005192326,-0.159273576,-5.804370882,1,2,2,2,3,5,1
4963,-0.040432131,-0.06446297,-0.387101636,0.332783206,-0.081600866,1.433427439,0.982259546,-0.404463337,2.299818984,0.401382857,-1.272891614,-1.083007559,-0.099447171,-2.016264749,0.423583779,0.070721226,-0.094388514,-0.148588653,-0.251327837,0.172829501,0.125610153,0.080217398,-0.093911389,-0.284745663,0.569604263,0.15351472,-0.127347272,-0.138583422,-0.457188289,0.58905938,0.067425379,-0.106493443,-0.196458825,-0.353532491,0.122735737,-0.005786165,-0.017401714,-0.031387955,-0.068159903,0.367413201,-0.037917437,-0.057690642,-0.123745334,-0.148059788,0.367070132,-0.077382092,-0.087753699,-0.089711255,-0.112223084,0.248429213,0.165946553,-0.039363186,-0.071035212,-0.303977368,0.184906499,0.047357767,0.010788766,-0.10795599,-0.135097042,0.103302188,0.068198148,0.002163345,-0.041391879,-0.132271802,0.13232886,-0.014696656,-0.01596156,-0.048448358,-0.053222286,0.287419253,0.180868233,0.121003105,0.020187782,-0.609478373,0.215857507,0.085700238,-0.059502853,-0.081163496,-0.160891397,0.120042024,0.057565044,0.027685091,0.0253321,-0.23062426,-8.773383074,1,1,1,1,2,7,1
4965,-1.220179977,-1.858281384,1.888380217,2.00837394,-0.314313103,-0.681120329,-2.616927718,-1.672057363,-1.719465711,1.002174696,2.937814808,1.122607626,1.154349145,-0.031354847,0.397378022,0.273917109,0.043857623,-0.136619201,-0.578533554,0.510973651,0.446066707,0.430352279,0.32343122,-1.710823857,0.469042894,0.292615047,0.053583266,-0.033827388,-0.781413818,0.631123947,0.253753813,-0.078235082,-0.389144127,-0.417498552,0.374508451,0.230090653,0.093256483,-0.195923667,-0.50193192,1.812959956,0.855416973,-0.04376739,-1.249846911,-1.374762629,0.347475209,-0.038573301,-0.068075382,-0.072280247,-0.168546279,0.677192994,0.171061476,-0.158081288,-0.31328232,-0.376890862,0.844235883,0.154646073,0.010549502,-0.419365987,-0.59006547,0.234928056,0.05298243,-0.044757583,-0.074595187,-0.168557717,0.169081415,0.073949408,0.04442277,-0.041851435,-0.245602159,0.261542178,0.049377282,0.004729542,-0.121867743,-0.193781259,0.378031755,0.096798779,0.056870903,-0.1353149,-0.396386537,0.172383905,0.153974254,0.091467114,0.081594146,-0.499419419,-1.316217823,1,3,2,2,2,4,1
4971,-0.822906515,0.308529547,0.702131817,-1.137262405,0.250598863,-1.486577801,-1.035616569,-1.247970301,-0.234074614,1.265091787,-0.074654971,0.964954676,2.663979093,-0.116222607,0.543192661,0.119945423,-0.123149367,-0.22919954,-0.310789176,0.426769171,0.279583089,0.237608799,-0.057047985,-0.886913074,0.436855643,0.218253757,-0.054267805,-0.087565638,-0.513275957,0.678362201,0.408637648,-0.11263969,-0.435157009,-0.539203149,0.191510937,0.088912276,0.055373894,-0.030195729,-0.305601379,0.437967599,0.136067588,0.020711365,-0.245648207,-0.349098344,0.417661261,-0.026256027,-0.088319296,-0.094429425,-0.208656513,0.239907533,0.038295057,-0.024686756,-0.067097685,-0.186418148,0.757208754,0.24546213,0.074652549,-0.324097481,-0.753225952,0.219188218,0.116291157,0.038341679,-0.033198737,-0.340622317,0.167273387,0.082155992,0.064724137,-0.090389879,-0.223763637,0.267246805,0.15664244,0.095234298,-0.130049827,-0.389073717,0.192047541,0.092153577,0.059815687,-0.017563227,-0.326453578,0.095395314,0.057494042,0.036984144,0.033564985,-0.223438485,-5.105529015,1,3,1,2,1,8,1
